apiversion	api
metadata	meta
configuration	config
configurations	config
customresourcedefinition	crd
namespace	ns
identifier	id
identifiers	ids
description	desc
environment	env
application	app
applications	apps
parameter	param
parameters	params
dependency	dep
dependencies	deps
credential	cred
credentials	creds
annotation	ann
annotations	anns
label	lbl
labels	lbls
specification	spec
specifications	specs
repository	repo
repositories	repos
organization	org
organizations	orgs
authentication	auth
authorization	authz
requestbody	reqbody
response	resp
responses	resps
component	comp
components	comps
schema	sch
schemas	schs
securityscheme	secscheme
securityschemes	secschemes
operationid	opid
workflow	wf
workflows	wfs
pipeline	ppl
pipelines	ppls
matchlabels	match_labels
matchexpressions	match_expr
repourl	repo_url
kubernetes	k8s
kustomization	kustom
helmrelease	hrel
helmchart	hchart
serviceaccount	sa
serviceaccounts	sas
